je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
false,39616,secondary,8,4,9,22,13,8,auto,1109,27012,392,1287174,disabled,37,8,false,10439,154151,55,192,72,always,true,-184.7074270660298
false,41515,primary,21,14,8,21,11,79,disabled,1199,44927,534,20071029,disabled,37,4,false,10136,219053,9,210,65,always,true,-211.06692210859634
false,41515,primary,21,1,6,28,12,76,always,838,36649,478,20071029,disabled,30,8,true,10066,203307,11,191,65,always,true,-178.9770816029899
false,13492,secondary,17,11,9,7,9,1,disabled,2353,49115,493,17611758,disabled,25,4,false,15012,171211,19,204,46,always,true,-216.66272256540694
true,39066,disabled,21,6,8,20,9,79,auto,1199,33122,488,20071029,disabled,28,2,true,10942,188590,10,210,65,always,true,-288.4457504931483
false,41515,disabled,15,1,8,20,11,79,disabled,1105,38329,534,11756340,disabled,37,4,true,10942,219053,6,210,61,always,true,-205.8349966258304
true,7174,disabled,20,4,8,21,8,50,auto,1156,9204,22,20363983,phycpu,10,2,false,3569,157786,52,313,33,always,true,-182.20279407184367
true,41515,primary,15,1,8,21,11,79,disabled,1199,40131,370,20071029,disabled,37,1,true,8976,219053,12,210,63,always,false,-200.91721605066436
false,35352,secondary,21,8,7,20,8,79,auto,1199,33620,534,20071029,disabled,38,2,true,10942,219053,11,125,65,always,false,-197.30194923172752
false,46135,disabled,19,4,6,13,13,79,auto,1463,20362,244,28933326,disabled,8,1,true,14612,72652,19,299,57,always,true,-212.01540113683544
false,39826,primary,21,12,5,13,9,78,always,1199,28063,534,20071029,disabled,35,3,true,10942,186688,10,210,65,always,true,-199.22282171407795
true,39066,disabled,19,9,13,20,9,79,auto,988,27186,488,18237852,disabled,28,2,false,10942,188590,10,200,65,always,false,-203.99360854443515
true,39066,disabled,21,6,8,23,9,80,auto,1199,33122,488,17511721,disabled,28,2,true,10942,154013,10,180,65,always,false,-179.64037842607962
true,39066,disabled,18,5,8,20,15,79,disabled,1199,33122,488,20071029,percpu,23,2,true,9712,188590,10,210,65,always,true,-162.97633539244174
true,39066,disabled,21,6,8,12,9,79,auto,1199,33122,409,13078158,disabled,28,1,true,10942,188590,15,197,63,always,true,-192.9780354547342
false,36481,secondary,16,6,5,19,10,79,disabled,945,42306,473,20071029,disabled,31,2,false,10942,219053,11,210,65,always,true,-201.52924172030725
true,26123,primary,3,7,1,27,3,61,disabled,1940,24047,531,26757269,phycpu,34,9,false,2095,241046,66,393,70,always,true,-188.59908378322254
true,39066,secondary,22,6,5,17,9,79,auto,1199,26941,488,20071029,disabled,22,2,true,10942,147998,10,210,65,always,true,-177.12217737749157
false,41515,disabled,21,9,6,17,16,34,auto,1199,44927,452,18898313,disabled,28,3,true,10942,176726,4,210,65,always,true,-204.24529562915274
true,41515,secondary,21,7,12,8,11,62,auto,1199,44927,481,20071029,disabled,35,1,true,8607,190771,7,210,66,always,false,-179.2343328228819
true,39017,disabled,20,5,1,2,14,41,disabled,2027,33993,526,26548544,disabled,22,4,true,14483,189089,3,224,64,always,true,-200.06002777201
true,39066,disabled,22,6,16,13,9,79,disabled,1046,31733,488,20071029,disabled,28,2,true,10942,188590,8,163,65,always,true,-192.83048042981704
true,31568,disabled,1,13,4,30,7,21,auto,240,35916,581,31923904,disabled,49,5,false,3382,153121,56,158,26,never,false,121.90191549003326
true,36369,disabled,23,4,9,16,9,36,auto,1044,31095,474,20071029,disabled,33,12,true,10942,195150,8,210,63,always,true,-193.00768596864603
false,31944,disabled,21,6,9,21,12,79,auto,1199,28063,476,20071029,disabled,19,3,true,10646,168268,10,210,61,always,true,-188.57834886316434
true,37270,secondary,21,6,9,20,9,79,auto,1199,33122,488,20071029,disabled,26,3,false,10942,188590,10,151,65,always,true,-203.9969502699335
true,22816,disabled,17,10,8,20,9,71,auto,946,44927,534,18029466,disabled,35,2,true,10942,219053,9,210,65,always,true,-184.13242641715104
true,38099,secondary,21,6,8,20,11,79,auto,767,33122,488,20071029,disabled,26,1,false,10942,166723,10,205,62,always,true,-183.0249623650332
true,37386,disabled,24,7,8,20,2,79,auto,1199,33122,374,20071029,disabled,28,2,true,10942,170845,10,210,65,always,true,-176.91113281250003
false,41515,secondary,21,1,4,20,15,79,auto,1199,44927,498,18274064,disabled,23,6,true,10942,199787,10,210,65,always,false,-280.93268531976776
false,29454,secondary,12,5,14,6,13,47,disabled,1532,17172,113,13781786,disabled,29,7,true,2852,155050,51,259,32,default,false,124.85225680024912
true,41515,secondary,21,7,5,20,12,79,auto,1199,33155,489,11544663,disabled,28,5,true,10942,219053,10,210,65,always,true,-170.64637082122087
false,41515,disabled,13,5,5,18,9,71,auto,1199,40623,499,20071029,disabled,29,2,true,10083,190465,11,210,68,always,true,-208.48078021179393
true,39066,disabled,21,6,8,20,8,63,disabled,1199,27476,488,20071029,disabled,28,2,true,10942,188590,10,210,63,always,false,-191.03690822259136
false,41515,disabled,16,1,2,20,15,79,auto,615,44927,498,13460467,disabled,19,3,true,9582,180296,10,210,61,always,false,-189.93664672446002
true,39066,primary,24,6,11,20,9,79,auto,1199,29062,488,20071029,disabled,27,2,true,10942,188590,10,210,63,always,true,-184.29509058347168
true,39066,disabled,23,6,8,20,12,79,auto,1199,33122,488,20071029,disabled,16,10,false,10942,188590,10,210,70,always,true,-199.85566341362113
false,35316,disabled,21,1,8,24,16,78,auto,1199,44927,499,20071029,disabled,32,8,true,10942,210410,10,190,65,always,false,-207.12598954007464
true,41515,secondary,21,1,2,20,15,79,auto,1199,44927,534,20071029,disabled,37,4,false,8760,194188,10,171,65,always,true,-190.8793572207225
false,31701,secondary,21,1,4,23,14,80,auto,1199,42318,498,9964420,disabled,21,6,true,10942,199787,11,210,59,always,false,-189.9462955512873
false,41515,secondary,21,1,8,20,15,79,auto,1199,44927,534,17388592,disabled,22,8,false,10942,211414,9,160,65,always,false,-184.19167553467597
true,39066,disabled,9,6,7,20,10,79,auto,1199,14256,488,20071029,disabled,28,3,false,10942,188590,10,210,65,always,true,-181.61723616590518
false,24745,disabled,18,8,2,20,10,51,auto,1199,33122,374,20071029,disabled,28,6,true,10942,166069,3,210,65,always,true,-183.9208335496262
false,41515,secondary,3,1,10,10,15,79,auto,1014,37949,498,12406525,phycpu,23,6,true,10942,199787,10,210,65,always,false,-175.40829721241678
false,40065,disabled,22,1,5,17,9,76,auto,1117,44927,534,18712062,disabled,24,8,true,10942,219053,11,210,66,always,true,-193.39862891922752
false,41515,secondary,21,1,8,20,6,79,auto,1199,44927,441,20071029,disabled,35,7,false,10942,188156,11,201,65,always,false,-221.30025890261618
false,34549,secondary,21,6,1,20,9,79,auto,1199,44927,524,20071029,disabled,25,1,false,10942,186847,6,210,68,always,true,-200.7445396854235
false,39066,primary,22,6,8,20,9,79,auto,1199,33122,474,20071029,disabled,30,4,true,10942,188590,6,200,65,always,false,-181.10262341673575
false,24015,disabled,21,1,8,20,9,79,disabled,1199,33122,488,18262452,disabled,31,2,true,9726,188590,11,205,66,always,true,-190.95632721656955
true,39066,disabled,19,5,15,20,9,79,auto,1199,27952,488,20071029,disabled,12,1,false,10942,188590,9,210,65,always,true,-195.28232389431048
true,39066,disabled,20,6,6,19,9,79,auto,1199,33122,425,18563011,disabled,28,2,true,10942,188590,10,210,65,always,true,-277.6152246418194
true,14025,disabled,5,12,15,25,8,8,always,2009,19976,547,20046231,disabled,2,1,false,10895,65236,56,121,11,never,true,142.25719930959298
false,21559,disabled,23,8,8,12,12,39,always,1409,44623,589,11045588,disabled,13,16,true,9230,189470,7,175,75,never,false,133.20951321117093
true,39066,disabled,21,7,8,17,9,79,auto,1199,33122,454,20071029,disabled,21,2,true,10942,188590,10,210,65,always,true,-192.598516014327
true,39066,primary,24,6,3,22,8,75,disabled,1199,33122,399,18563011,disabled,27,2,true,10942,188590,10,210,61,always,true,-188.75826022632882
true,39066,disabled,21,6,13,20,9,79,auto,1199,33122,488,20071029,phycpu,30,1,true,10942,188590,10,210,66,always,true,-186.9966485413205
false,34886,secondary,21,1,4,20,15,79,auto,1199,44927,498,18274064,percpu,19,6,true,9371,199787,10,210,65,always,false,-187.39552727886195
true,39066,disabled,21,5,9,7,9,79,auto,1078,31529,425,18563011,disabled,28,8,true,10197,188590,10,210,60,always,false,-195.09828566237525
false,41515,secondary,21,1,4,15,15,79,auto,1199,44927,498,18274064,disabled,24,3,true,10564,173316,10,210,63,always,false,-196.8520751142025
