je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
true,11409,secondary,24,6,6,5,4,5,always,2147,32794,37,18587506,phycpu,7,4,true,6811,195848,54,123,29,never,true,4.236539010589697
false,8802,secondary,20,12,8,13,10,56,always,1096,34469,333,26364708,phycpu,1,14,false,13320,101444,12,378,78,default,true,3.1344736295681073
true,21330,primary,7,9,10,6,4,18,disabled,2139,41902,1,857058,phycpu,7,13,true,4663,203368,34,112,49,never,true,-1.045713507059802
false,11409,secondary,22,8,15,7,1,5,always,2147,39760,14,19897562,phycpu,7,2,true,7921,177551,52,131,18,never,false,3.5374273255813957
false,23312,primary,24,3,9,25,12,1,always,1010,21426,115,11532440,phycpu,38,10,false,4520,237439,32,118,21,always,false,6.4545882215531485
false,11409,primary,24,10,11,9,6,4,auto,2147,39760,8,21811274,phycpu,11,7,false,5059,175440,52,137,26,never,false,-2.501430777616283
false,4687,primary,24,12,11,5,1,1,auto,2045,39760,8,21811274,phycpu,8,2,true,7921,195848,50,138,29,never,false,-2.4002965375830594
false,8669,primary,24,14,11,4,1,6,auto,1882,38424,55,21811274,disabled,11,4,true,6630,195848,56,137,29,never,true,-2.5929583679402053
false,11409,primary,24,1,12,3,6,10,auto,2147,38713,11,21811274,phycpu,9,6,true,2789,165369,52,137,21,never,true,-2.608369237956816
false,3727,primary,24,2,12,5,1,10,always,2147,35732,28,20051181,phycpu,7,4,false,7921,195848,52,143,29,never,false,2.671271542774085
false,11409,disabled,24,8,14,3,6,24,auto,2055,37246,55,21811274,percpu,7,4,false,7921,195848,55,156,30,never,false,-2.183801391196015
false,3762,primary,24,12,12,5,1,9,auto,2147,38073,28,21811274,phycpu,7,12,true,5830,195848,52,156,29,never,false,-2.908686539659463
false,4347,primary,24,8,12,2,1,9,auto,2055,38716,28,21811274,phycpu,3,12,true,7921,174558,52,156,27,never,false,-2.492833134343855
true,3468,primary,5,9,14,5,10,10,auto,2046,40943,30,21314652,phycpu,29,2,true,77,156871,76,213,52,never,false,0.7511193158222604
true,3137,primary,24,14,16,2,7,21,auto,2147,38274,42,20370887,disabled,7,7,true,6133,195848,52,147,26,never,false,-1.2580752958887065
false,3762,primary,24,6,5,4,1,13,always,2147,38073,4,20763418,phycpu,3,15,true,5830,195848,49,156,29,never,false,2.862862723214288
false,6395,secondary,12,3,8,5,1,5,auto,2147,39760,7,21811274,phycpu,8,8,true,4409,195848,52,156,29,never,true,-2.4658495120431905
true,37303,secondary,20,4,1,15,12,61,auto,833,4847,287,10676124,percpu,56,4,false,7447,138460,2,371,60,default,false,0.5618608544435213
false,3762,primary,23,9,12,5,2,1,disabled,2147,38073,18,20113715,phycpu,11,12,false,5830,195848,52,156,29,never,false,-2.9107369964700993
false,176,primary,23,12,12,6,2,13,disabled,2147,38713,27,21811274,phycpu,9,12,false,2009,143346,52,104,17,never,true,-2.5635966050664454
false,2217,primary,24,9,12,9,7,1,disabled,2147,38073,21,20113715,phycpu,12,12,true,5830,195848,52,131,28,never,true,-2.5942723473837175
false,3762,primary,22,12,12,4,1,5,auto,2147,38073,16,20345186,phycpu,8,12,false,4336,180370,52,156,29,never,true,-2.5933347176079766
false,348,secondary,23,8,10,10,4,9,disabled,2147,35334,33,21811274,phycpu,11,9,false,2319,195848,52,156,29,never,false,-2.442632630813956
true,32163,primary,24,4,14,28,5,65,always,2137,30659,435,28933828,disabled,56,11,false,6474,243450,8,291,53,never,true,4.4515806686046435
false,3762,primary,11,13,12,2,5,3,disabled,2147,38073,42,20113715,phycpu,11,12,false,4800,185561,54,119,26,never,false,-2.6847033326411927
false,3267,primary,24,12,11,6,2,1,auto,2147,36648,28,18673004,phycpu,7,12,true,5162,195848,52,156,16,never,false,-2.3806095566860472
false,11409,primary,14,16,12,1,12,14,disabled,2147,37444,34,20107887,phycpu,11,7,false,6066,195848,56,156,29,never,false,-2.6590758669019965
true,253,primary,24,12,12,8,1,2,auto,2147,38073,10,21811274,disabled,11,10,false,5830,195848,52,156,29,never,false,-1.241833861088043
false,3762,primary,24,12,12,5,8,9,disabled,2147,20386,28,21811274,percpu,1,12,false,5162,195848,52,156,29,never,true,-2.6353853041943553
false,5137,primary,24,7,12,4,2,7,auto,2147,38595,55,21811274,disabled,11,13,false,6147,163613,52,156,29,never,false,-2.923104625207642
false,9321,primary,24,2,12,5,2,1,auto,2147,36225,34,21811274,phycpu,8,12,true,5133,195848,52,156,29,never,false,-2.693612437707645
false,2049,primary,24,6,12,5,2,4,auto,2147,38595,55,20229673,disabled,11,14,false,5778,141150,54,156,29,never,true,-2.521870457848833
false,5137,secondary,23,11,12,5,2,1,auto,1914,37202,39,20382076,disabled,13,13,false,6147,141518,43,156,29,never,false,-2.6280983959717625
false,3762,primary,23,7,14,5,2,1,disabled,2147,35036,15,20113715,disabled,9,15,false,5830,183232,52,100,27,never,false,-2.7657288205980075
false,577,secondary,24,9,12,5,1,6,auto,2147,38073,19,20204078,disabled,11,13,false,5830,195848,46,156,29,never,false,-2.460947233181063
false,3762,primary,24,12,12,9,2,3,disabled,2044,35234,21,21811274,phycpu,2,12,true,5830,195848,53,156,28,never,true,-2.554927585132898
false,1629,primary,10,9,12,5,1,2,auto,2147,30261,19,20399424,phycpu,13,13,true,5830,188207,52,148,29,never,true,-2.5638691341362163
false,3762,disabled,16,8,12,2,2,1,disabled,2147,38073,2,20113715,percpu,6,5,false,5830,187149,55,132,29,never,false,-2.4628776474252465
false,11409,primary,7,8,14,5,1,8,auto,2147,38665,17,20943430,disabled,9,12,true,2717,195848,46,144,30,never,false,-2.4790152616279104
false,3762,primary,20,9,12,5,1,13,auto,2147,38073,54,17337807,phycpu,13,12,false,5830,114571,52,156,31,never,false,-3.07009837001661
false,5137,primary,24,10,12,5,2,1,disabled,2147,35997,48,16041783,disabled,8,3,false,6147,127253,52,139,29,never,true,-3.1167170629152774
false,2792,primary,19,12,6,5,7,1,disabled,2090,27995,28,12227375,phycpu,3,9,true,5830,120683,52,119,24,never,true,-2.8828449439368757
false,8086,primary,24,10,12,5,4,14,auto,2147,35556,22,14209171,disabled,6,2,true,6535,119319,53,129,31,never,false,-2.757591881229237
false,1232,secondary,24,1,12,5,2,1,auto,2075,34942,55,10293968,phycpu,11,1,false,5778,126960,45,107,29,never,false,-2.3547322726328894
false,3762,primary,20,7,8,5,3,8,auto,1869,38073,40,15624506,phycpu,8,12,false,5830,114571,52,133,27,never,false,-2.549210963455151
false,5137,primary,24,6,15,3,2,1,auto,1959,35997,48,13688734,phycpu,8,1,true,6147,100423,52,139,32,never,true,-2.4878140573089684
false,4300,primary,8,14,12,5,2,21,auto,2147,27831,46,12632621,disabled,13,3,false,7921,195848,52,142,21,never,false,-3.0051099200581364
false,5137,primary,24,10,12,10,5,1,auto,2147,33918,48,12969558,disabled,8,9,true,6147,127253,52,139,12,never,false,-2.5495840687292413
false,3762,secondary,24,16,15,8,3,13,disabled,2147,26407,54,13126662,disabled,13,3,true,5830,114571,54,156,25,never,false,-2.0402953696013313
false,223,primary,17,14,12,1,1,1,disabled,2147,37306,55,12327068,disabled,13,2,false,5151,163613,53,138,32,never,true,-3.058223889119606
false,5137,primary,24,13,15,5,2,1,disabled,2147,35997,23,7089328,disabled,2,3,false,6147,127253,54,125,22,never,true,-2.9780419435215917
false,2667,primary,20,4,12,5,2,13,auto,2147,26235,54,17337807,phycpu,17,11,false,5830,99725,52,117,33,never,false,-2.7231850861710982
false,223,primary,17,9,12,5,1,6,disabled,1708,37306,55,9048525,phycpu,15,2,false,4370,163613,53,124,25,never,true,-2.7115150020764127
false,5137,primary,18,10,12,5,1,16,disabled,2147,35997,48,16041783,percpu,4,3,false,6147,127253,50,139,30,never,false,-2.729767960963456
false,493,primary,17,14,5,1,4,1,disabled,2147,22011,1,10257822,disabled,13,4,false,5151,163613,53,138,34,never,true,-2.9456823608804026
false,1637,primary,11,10,7,5,3,1,disabled,2147,35997,48,16041783,disabled,8,3,false,5351,99613,53,139,30,never,false,-2.491438045058139
false,5137,primary,17,10,12,5,1,13,disabled,2079,31765,48,16041783,phycpu,4,2,false,6147,127253,49,139,32,default,false,-2.818758435423594
false,1693,primary,5,10,12,5,2,5,disabled,2147,33853,30,15601323,disabled,2,4,false,6293,195848,52,105,29,never,true,-1.3783644362541565
false,5137,primary,21,12,2,5,4,1,disabled,2086,35997,13,16041783,disabled,12,2,false,6147,127253,48,109,24,never,true,-3.0244400176495
