je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
true,false,747,disabled,12,8,15,19,13,38,auto,224,8127,138,13215848,percpu,1,12,false,false,11380,183958,54,127,50,never,false,7101.07031
true,false,2395,disabled,12,8,15,19,8,22,disabled,49,8127,108,12181809,disabled,1,8,false,false,11380,189744,62,146,45,never,false,7084.39844
true,false,250,primary,5,7,15,21,11,36,disabled,271,5699,138,11283350,phycpu,1,12,false,false,6378,199492,60,126,36,never,true,7083.66016
true,false,2573,primary,12,2,9,19,5,37,disabled,271,2762,138,13215848,percpu,1,12,false,true,10540,195495,63,146,55,never,true,7094.625
false,false,1652,primary,12,7,15,22,9,26,disabled,271,7491,57,13215848,phycpu,1,8,false,false,11380,199492,59,146,47,never,true,7084.64453
true,false,1177,primary,9,8,15,22,16,30,disabled,271,4927,105,13215848,disabled,1,12,false,false,11380,159451,63,101,48,never,false,7083.88672
false,false,46826,primary,1,7,15,15,8,65,disabled,673,43531,629,18582300,percpu,2,7,false,true,2901,222667,70,397,4,never,false,7110.17188
true,false,2530,primary,12,8,6,19,13,32,disabled,271,6201,138,11679740,percpu,1,11,false,false,10441,173008,63,116,53,never,false,7083.375
true,false,2536,secondary,12,10,9,19,11,34,disabled,271,1972,138,13215848,phycpu,1,12,true,false,9978,180980,59,135,36,never,true,7083.29688
false,false,2545,disabled,2,12,15,18,13,38,disabled,271,6682,138,13215848,disabled,1,8,false,false,8859,193403,61,109,44,always,false,7334.35938
