je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
false,true,1391,disabled,8,2,3,3,1,34,disabled,14,1052,18,1731740,disabled,50,1,false,true,5254,134149,2,179,55,always,true,7462.10156
false,true,1728,secondary,11,1,3,10,5,30,disabled,32,538,101,1731740,disabled,57,3,true,false,5254,239033,7,176,55,never,true,7387.08594
true,true,1728,disabled,11,1,7,13,5,30,always,32,970,83,379515,disabled,57,6,false,false,3032,239033,5,176,60,never,false,7528.20703
false,true,1728,secondary,13,1,3,6,2,31,disabled,32,798,101,1443129,disabled,55,3,true,true,5254,239033,8,159,50,default,true,7388.11328
true,false,1613,primary,1,1,5,4,1,19,disabled,59,848,101,1731740,disabled,56,9,true,false,5254,231304,8,186,50,never,true,7377.26562
true,false,1613,primary,8,1,5,10,4,21,disabled,59,371,101,118849,disabled,51,5,true,false,5254,239033,4,172,55,never,false,7381.47266
true,false,601,disabled,3,1,1,5,10,2,disabled,72,538,101,1731740,disabled,61,3,true,false,5254,221100,6,142,55,default,true,7371.33594
true,false,1381,disabled,4,1,1,5,10,2,disabled,43,1866,101,1731740,percpu,58,3,true,false,2190,221100,6,142,55,default,false,7376.34766
true,false,1613,primary,2,1,1,4,12,12,auto,52,334,36,2072118,disabled,60,7,true,false,2285,231304,8,141,50,never,false,7392.02344
true,false,636,disabled,6,1,1,5,10,3,disabled,105,1866,101,1200173,percpu,60,9,true,false,2190,188276,9,142,54,never,true,7372.64844
