je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_thp,je_trust_madvise,rss
false,22678,primary,10,12,18,disabled,564,4836,248,2961771,phycpu,true,default,true,-12.738936617524935
false,22678,primary,2,12,18,disabled,564,5188,248,11042583,phycpu,false,default,false,-5.072223447882053
false,22678,secondary,2,13,18,auto,564,5188,248,11042583,phycpu,false,default,false,-7.535581265573097
false,22678,primary,2,12,21,auto,564,5188,248,11042583,phycpu,false,default,false,-7.464730196220926
false,22678,disabled,2,12,18,auto,564,5188,209,11042583,phycpu,false,default,false,-7.754542151162792
false,22678,primary,2,12,18,auto,30,5188,248,10724635,phycpu,false,default,false,-4.874279744601319
false,22678,primary,2,12,18,auto,564,5188,240,11042583,phycpu,true,never,false,-6.360088766611311
false,43736,secondary,24,30,29,disabled,787,33817,432,27058033,phycpu,true,default,true,-4.782155185838864
false,20995,primary,1,12,18,auto,564,5188,248,11042583,percpu,false,default,false,-8.185764249377092
false,10663,primary,7,20,32,disabled,967,182,90,678404,phycpu,true,always,true,36.92865902720104
false,22678,primary,4,12,18,auto,564,5188,248,11042583,phycpu,false,default,true,-8.361928337832214
false,22678,primary,2,11,18,auto,564,5188,248,11042583,phycpu,false,default,false,-7.6683483440614655
false,22678,primary,2,12,19,auto,564,5188,248,11042583,phycpu,true,default,false,-6.90215557516611
false,22699,primary,2,12,18,auto,564,3602,248,11042583,phycpu,false,default,false,-8.474667774086367
false,24638,primary,2,12,18,auto,561,18311,248,11036375,phycpu,false,default,false,-8.036200944767444
false,21706,primary,2,12,1,auto,563,25474,573,11874580,phycpu,false,default,false,-7.246989202657827
false,21087,primary,2,12,18,auto,564,4993,248,11042583,phycpu,false,never,false,-5.521669305440204
false,22678,primary,2,12,12,auto,564,5188,248,11039401,phycpu,false,default,false,-3.681948842400333
false,22678,primary,2,12,18,auto,564,5188,248,11042583,percpu,true,default,false,-3.1224174626245818
false,22678,primary,2,13,18,auto,564,5188,248,11042583,phycpu,false,default,false,-3.638564810008313
false,22678,disabled,4,12,18,auto,564,5188,248,11042583,disabled,false,default,false,-8.040369990656151
true,5574,disabled,23,16,42,auto,722,128,13,22056331,disabled,true,default,true,-2.7565050093438597
false,22678,primary,2,12,18,auto,564,5188,248,11042583,disabled,false,default,false,-4.69594191237542
false,22678,primary,3,12,15,auto,564,5188,240,11042583,phycpu,false,default,false,-5.191571714078078
true,38846,primary,7,9,73,auto,1675,19330,285,24430726,percpu,true,never,false,-0.15295694040697538
false,22678,disabled,2,12,18,auto,564,5188,248,11042583,phycpu,false,never,false,-4.136994523463462
false,22678,primary,1,12,18,auto,564,5188,248,11042583,phycpu,false,default,false,-5.820679116486722
false,22678,primary,3,12,18,auto,564,5188,248,11042583,phycpu,false,default,false,-7.204367602782404
false,22678,secondary,2,12,18,auto,564,5188,248,11042583,phycpu,false,default,false,-6.2690900124584585
false,22678,primary,2,12,18,auto,564,5188,250,11042583,phycpu,false,default,false,-7.326081031976743
false,22678,primary,2,12,14,auto,67,5188,248,11042583,phycpu,false,default,true,-6.258623598421934
false,21156,primary,2,12,18,auto,564,5188,248,11042583,phycpu,false,default,false,-6.660519622093019
false,22678,primary,2,12,18,auto,269,5188,248,11042583,phycpu,true,default,false,-4.651133591154476
false,22678,primary,2,12,14,auto,564,5188,248,11042583,phycpu,false,default,false,-6.397950840946852
true,3970,secondary,15,26,38,auto,1382,41320,442,4111268,disabled,false,always,true,17.14742524916941
false,22678,primary,2,12,18,auto,526,5188,248,11042583,phycpu,false,default,false,-8.446425327034879
false,22678,primary,2,12,18,auto,564,4240,248,11042583,phycpu,false,default,false,-11.414730845099683
